DIFFUSION COEFFICIENT ESTIMATE
INPUT:
Trajectory: example_trajectory_1D.dat
Number of dimensions : 1
Min/max timestep: 1/100
Number of segments: 50
Total number of trajectory data points per dim.: 500000
Data points per segment and dim.: 10000
Your chosen diffusion coefficient at 7.0 ps: 5.9773922617482194e-05 nm^2/ps
DIFFUSION COEFFICIENT OUTPUT SUMMARY:
t[ps] D[nm^2/ps] varD[nm^4/ps^2] Q
1 7.8686e-05 3.1559e-12 0.01329
2 6.5629e-05 5.3784e-12 0.35888
3 6.4124e-05 7.7236e-12 0.41813
4 6.2373e-05 9.8444e-12 0.45794
5 6.086e-05 1.1858e-11 0.52549
6 6.026e-05 1.3986e-11 0.50902
7 5.9774e-05 1.6e-11 0.53268
8 6.0059e-05 1.8284e-11 0.55880
9 5.9733e-05 2.0397e-11 0.58699
10 5.9692e-05 2.2408e-11 0.59916
11 5.9674e-05 2.4486e-11 0.60259
12 5.9408e-05 2.6609e-11 0.57482
13 5.9255e-05 2.8672e-11 0.57421
14 5.9319e-05 3.074e-11 0.49661
15 5.9608e-05 3.2854e-11 0.55139
16 5.8763e-05 3.4726e-11 0.55808
17 5.9096e-05 3.7049e-11 0.54751
18 5.8758e-05 3.8984e-11 0.52298
19 5.9207e-05 4.1153e-11 0.59576
20 5.9121e-05 4.3733e-11 0.49796
21 5.8618e-05 4.5289e-11 0.51261
22 5.8456e-05 4.7686e-11 0.57031
23 5.905e-05 4.9505e-11 0.51795
24 5.8999e-05 5.2117e-11 0.54310
25 5.9191e-05 5.4877e-11 0.60381
26 5.8848e-05 5.5766e-11 0.47616
27 5.8324e-05 5.7501e-11 0.49451
28 5.7782e-05 5.9534e-11 0.50595
29 5.8604e-05 6.145e-11 0.52203
30 5.8392e-05 6.3513e-11 0.46095
31 5.8381e-05 6.553e-11 0.48727
32 5.8264e-05 6.7342e-11 0.52723
33 5.8131e-05 6.9731e-11 0.55340
34 5.8441e-05 7.1215e-11 0.50184
35 5.8308e-05 7.4905e-11 0.53442
36 5.824e-05 7.67e-11 0.54506
37 5.7493e-05 7.664e-11 0.54599
38 5.798e-05 8.037e-11 0.50058
39 5.8171e-05 8.239e-11 0.49397
40 5.807e-05 8.4661e-11 0.50328
41 5.7793e-05 8.5729e-11 0.52581
42 5.6821e-05 8.8626e-11 0.46084
43 5.7936e-05 8.9996e-11 0.58595
44 5.8119e-05 9.271e-11 0.52471
45 5.705e-05 9.2688e-11 0.53422
46 5.8643e-05 9.6112e-11 0.51413
47 5.7704e-05 9.6803e-11 0.53481
48 5.6827e-05 1.0007e-10 0.48544
49 5.7519e-05 1.0183e-10 0.49942
50 5.6852e-05 1.0308e-10 0.52903
51 5.6864e-05 1.0488e-10 0.48837
52 5.6705e-05 1.0752e-10 0.49719
53 5.701e-05 1.1169e-10 0.52566
54 5.7892e-05 1.1179e-10 0.47539
55 5.7992e-05 1.1165e-10 0.55111
56 5.7691e-05 1.1736e-10 0.51035
57 5.7315e-05 1.1647e-10 0.49583
58 5.6881e-05 1.2086e-10 0.55336
59 5.751e-05 1.2104e-10 0.53368
60 5.7682e-05 1.233e-10 0.46616
61 5.7231e-05 1.2259e-10 0.55618
62 5.6778e-05 1.2517e-10 0.55428
63 5.7883e-05 1.2905e-10 0.47986
64 5.6937e-05 1.3215e-10 0.51620
65 5.7638e-05 1.3521e-10 0.49905
66 5.8137e-05 1.3777e-10 0.53107
67 5.806e-05 1.3545e-10 0.56691
68 5.761e-05 1.3968e-10 0.55618
69 5.8153e-05 1.4282e-10 0.53472
70 5.7739e-05 1.4926e-10 0.50599
71 5.7334e-05 1.4521e-10 0.53053
72 5.7565e-05 1.4986e-10 0.46990
73 5.7913e-05 1.4849e-10 0.53016
74 5.6825e-05 1.5121e-10 0.52757
75 5.7525e-05 1.5587e-10 0.46713
76 5.6795e-05 1.5948e-10 0.46561
77 5.6911e-05 1.6142e-10 0.48595
78 5.6305e-05 1.5748e-10 0.49032
79 5.6594e-05 1.6757e-10 0.53902
80 5.7126e-05 1.6636e-10 0.54439
81 5.635e-05 1.6023e-10 0.55319
82 5.6412e-05 1.6839e-10 0.53202
83 5.5903e-05 1.7024e-10 0.53877
84 5.6642e-05 1.6735e-10 0.46147
85 5.746e-05 1.7022e-10 0.54337
86 5.6001e-05 1.7617e-10 0.62510
87 5.7387e-05 1.7553e-10 0.54156
88 5.6295e-05 1.7847e-10 0.55216
89 5.5906e-05 1.7838e-10 0.56429
90 5.7595e-05 1.8151e-10 0.47558
91 5.6092e-05 1.8459e-10 0.57955
92 5.6744e-05 1.9496e-10 0.51503
93 5.6087e-05 1.884e-10 0.53448
94 5.5488e-05 1.9113e-10 0.53022
95 5.7015e-05 1.9105e-10 0.60763
96 5.7146e-05 1.9497e-10 0.54338
97 5.6427e-05 1.9457e-10 0.57495
98 5.5915e-05 1.9722e-10 0.58727
99 5.6978e-05 2.0051e-10 0.51224
